actionlog.1	{0} reason: {1}
consolesetfullswing.2	フルスイングスキルチャージング時間を固定させます。
consolesetfullswing.3	/T:時間(単位は ms)
consolesetfullswing.4	/T:0 : チャージング固定時間を除去します。
consolesetfullswing.5	フルスイングチャージング時間が {0}に固定されました。(ms 単位)
consolesetfullswing.6	フルスイングチャージング時間が除去されました。
consolesetfullswing.7	フルスイングチャージング固定スキルキャラクターを見つけられませんでした。
consolesetpartyarena.1	>set_party_arena /S:단계 /T:부활 후 투명화 시간.\n
consolesetpartyarena.2	콘누스 아레나 스탭을 수동으로 바꿉니다.\n
consolesetpartyarena.3	/S:0 : 파티 모집 단계\n
consolesetpartyarena.4	/S:1 : 대전 전 대기 단계\n
consolesetpartyarena.5	/S:2 : 대전 단계\n
consolesetpartyarena.6	/S:3 : 대전 종료 단계\n
consolesetpartyarena.7	/T:시간 : 단위는 ms 입니다.\n
consolesetpartyarena.8	파티 모집 단계로 변경되었습니다..\n\n
consolesetpartyarena.9	대전 전 대기 단계로 변경되었습니다.\n\n
consolesetpartyarena.10	대전 단계로 변경되었습니다.\n\n
consolesetpartyarena.11	대전 종료 단계로 변경되었습니다.\n\n
consolesetpartyarena.12	부활 후 반투명 상태 시간이 {0}ms로 설정 되었습니다.\n\n
consoleworldmeta.1	Type unsupported.
consoleworldmeta.2	Command unsupported.
damagemodulator.1	This weapon doesn't seem to be useful.
damagemodulator.2	The attack has little effect.|The weapon has no effect. Use a better weapon!
dunemgr.1	ここでは地形を変化させることはできないようだ。
dunemgr.2	この位置はこれ以上地形を変化させることはできないようだ。
dunemgr_dunecreate.1	ここでは地形を変化させることはできないようだ。
dunemgr_dunecreate.2	この位置はこれ以上地形を変化させることはできないようだ。
dunemgr_dunecreate.3	この位置はこれ以上地形を変化させることはできないようだ。
dunemgr_dunecreate.4	ここでは地形を変化させることはできないようだ。
dungeon.upstairs	<mini>UP</mini>上層
dungeon2.1	Cooking time: {0} minutes, {1} seconds
dungeon2mgr.1	You can only enter the shadow world when you have a mission.
dungeon2mgr.2	A problem occured.
dungeon2mgr.3	Previous shadow world still exists.\nTry joining another party.
dungeon2mgr.4	Please try again later.
dungeon2mgr.5	Previous shadow world still exists.\nTry joining another party or try again later.
dungeon2mgr.6	You can only enter the shadow world when you have a mission.
dungeon2mgr.7	Unable to find the mission. Please try again later.
dungeon2mgr.8	You don't have enough party members.
dungeon2mgr.9	You have too many party members.
dungeon2mgr.10	{0} is too low leveled.
dungeon2mgr.11	Unable to enter the shadow world. Try again later or use other channels.
dungeon2mgr.12	There are too many users (LOLWAT). Try again later.
dungeon2mgr.13	A problem entering the shadow world occured.
dungeon2mgr.14	Unable to find shadow mission. Try again later.
dungeon2mgr.15	Unable to find party leader.
dungeon2mgr.16	Unable to find shadow mission. Try again later.
dungeon2mgr.17	No information about the shadow world. Try again later.
dungeon2mgr.18	You cannot have pets here.
dungeon2mgr.19	Pets cannot enter.
dungeon2mgr.20	You cannot enter.
dungeon2mgr.21	You have another shadow mission in progress.
dungeon2mgr.22	\n\nYou can only bring one Royal Alchemist with you.
dungeon2mgr.23	\n\nYou cannot bring another alchemist.
dungeon2mgr.24	\n\nYou cannot bring a Royal Alchemist with you for this mission.
dungeon2mgr.25	Unable to enter.
dungeon2mgr.26	Unable to enter.
dungeon2puzzleroom.1	部屋の中に入りますか？
dungeon2puzzleroom.2	結界がまだ解けていない。
dungeon2questprocessor.1	%s의 효과로 경험치가 %d%%, 상금이 %d%% 만큼 증가했습니다
dungeon2questprocessor.2	{0}의 효과로 경험치가 {1}%, 상금이 {2}% 만큼 증가했습니다
dungeoncreator.1	影の世界が生成されるまで約 {0}秒かかります。
dungeonpuzzlechest.1	宝を守るモンスターを先に退治しなければならない。
dungeonpuzzledoor.1	門が閉ざされているため、ボスルームに入ることができない。
dungeonpuzzledoor.2	まだモンスターが残っています。\nすべてのモンスターを退治すると門が開きます。
etc.contents_book_address	http://patch.mabinogi.jp/book/japan/
event2ndanniversarychina.1	2주년 이벤트가 시작되었습니다.
event2ndanniversarychina.2	2주년 이벤트가 종료되었습니다.
event2ndanniversarychina.3	2주년 이벤트가 진행중입니다.
event3rdanniversarykorea.1	마비노기 3주년 이벤트를 시작합니다.
event3rdanniversarykorea.2	마비노기 3주년 이벤트를 종료합니다.
event3rdanniversarykorea.3	마비노기 3주년 이벤트가 진행중입니다.
event4thanniversary2009china.1	4주년 이벤트를 시작합니다.
event4thanniversary2009china.2	4주년 이벤트를 종료합니다.
event4thanniversary2009china.3	4주년 이벤트가 진행중입니다.
event4thanniversary2009china.4	해당 난이도의 미션을 더 이상 받을 수 없습니다.\n5분 후에 다시 시도해 보세요.
event4thanniversary2009taiwan.1	4주년 이벤트를 시작합니다.
event4thanniversary2009taiwan.2	4주년 이벤트를 종료합니다.
event4thanniversary2009taiwan.3	4주년 이벤트가 진행중입니다.
event5thanniversarykorea.1	마비노기 5주년 이벤트를 시작합니다.
event5thanniversarykorea.2	마비노기 5주년 이벤트를 종료합니다.
event5thanniversarykorea.3	마비노기 5주년 이벤트가 진행 중 입니다.
eventangelinus2007.1	Angel-In-us 이벤트가 시작되었습니다.
eventangelinus2007.2	Angel-In-us 이벤트가 종료되었습니다.
eventangelinus2007.3	Angel-In-us 이벤트가 진행중입니다.
eventaprilfoolsday2008.1	만우절 이벤트가 시작되었습니다.
eventaprilfoolsday2008.2	만우절 이벤트가 종료되었습니다.
eventaprilfoolsday2009.1	エイプリルフールイベントが始まりました。
eventaprilfoolsday2009.2	エイプリルフールイベントが終了しました。
eventbanquet2009korea.1	Style 이벤트를 시작합니다.
eventbanquet2009korea.2	Style 이벤트를 종료합니다.
eventbanquet2009korea.3	Style 이벤트가 진행 중 입니다.
eventbeginnerhelp2006.1	初心者イベントを開始します。
eventbeginnerhelp2006.2	初心者イベントを終了します。
eventbeginnerhelp2006.3	初心者イベントを開催しています。
eventblossom2008japan.1	「お花見しませんか？」イベントを開始します。
eventblossom2008japan.2	「お花見しませんか？」イベントを終了します。
eventblossom2008japan.3	「お花見しませんか？」イベントを開催しています。
eventbreakwatermelon2007.1	「Break the watermelons！」Event will start
eventbreakwatermelon2007.2	「Break the watermelons！」Event will end
eventbreakwatermelon2007.3	「Break the watermelons！」Event is now in progress. Head over to Port Qilla, Connous Beach, or NekoJima to participate!
eventcapturetheflag.1	Capture the flagイベント期間が始まります。
eventcapturetheflag.2	Capture the flagイベント期間が終了しました。
eventcapturetheflag2008summer.1	海辺へ行こうイベント期間が始まります。
eventcapturetheflag2008summer.2	海辺へ行こうイベント期間が終了しました。
eventcapturetheflag2008summergame.1	5分後ケアン海岸で海辺へ行こうイベントが始まります。
eventcapturetheflag2008summergame.2	海辺へ行こう
eventcapturetheflag2008summergame.3	ケアン海岸
eventcapturetheflag2008summergame.4	海辺へ行こうイベントが終了しました。
eventcapturetheflag2008summergame.5	海辺へ行こうイベント期間が終了しました。
eventcapturetheflag2008summergame.6	ケアン海岸で海辺へ行こうイベントが開催中です。
eventcapturetheflaggame.1	5分後にトゥガルドアイル南でCapture the flagイベントが始まります。
eventcapturetheflaggame.2	Capture the flagイベントが終了しました。
eventcapturetheflaggame.3	Capture the flagイベント期間が終了しました。
eventcapturetheflaggame.4	トゥガルドアイル南でCapture the flagイベントが開催中です。
eventcherrytree2008korea.1	벚꽃놀이 이벤트를 시작합니다.
eventcherrytree2008korea.2	벚꽃놀이 이벤트를 종료합니다.
eventcherrytree2008korea.3	벚꽃놀이 이벤트가 진행중입니다.
eventchildrensday2007korea.1	ハロウィンイベントを開始します。
eventchildrensday2007korea.2	ハロウィンイベントを終了します。
eventchildrensday2007korea.3	ハロウィンイベントを開催しています。
eventchildrensday2010korea.1	어린이날, 우리 모두 다 함께 이벤트가 시작됩니다.
eventchildrensday2010korea.2	어린이날, 우리 모두 다 함께 이벤트가 종료됩니다.
eventchildrensday2010korea.3	제스처에 성공했지만 선물은 받지 못했다.
eventchildrensday2010korea.4	제스처에 성공했지만 더 이상 선물을 받을 수 없다.
eventchildrensday2010korea.5	지시와 다른 제스처를 취한 것 같다.
eventchildrensday2010korea.6	너무 늦게 제스처를 취한 것 같다
eventchildrensday2010korea.7	어린이날, 우리 모두 다 함께 이벤트가 진행중입니다.
eventchildrensday2010korea.8	데이안 : DJ 데이안과 함께하는 \"우리 모두 다 함께\" 제스처 타임!\n우리 모두 다함께 [{0}] 제스처!!
eventchildrensday2010korea.9	데이안 : 즐거운 어린이날, \"우리 모두 다 함께\" 제스처 타임이 곧 시작됩니다.\n모두들 실수하지 않게 제스처 준비!!.
eventchinacommunitydungeon.1	커뮤니티 던전 이벤트를 시작합니다.
eventchinacommunitydungeon.2	커뮤니티 던전 이벤트를 종료합니다.
eventchinacommunitydungeon.3	커뮤니티 던전 이벤트가 진행 중입니다.
eventchristmas2007.1	クリスマスイベントが始まりました。
eventchristmas2007.2	クリスマスイベントが終了しました。
eventchristmas2007.3	クリスマスイベントが開催中です。
eventchristmas2007japan.1	クリスマスイベントを開始します。
eventchristmas2007japan.2	クリスマスイベントが終了しました。
eventchristmas2007japan.3	クリスマスイベントが開催中です。
eventchristmas2007reward1japan.1	クリスマスイベントを開始します。
eventchristmas2007reward1japan.2	クリスマスイベントが終了しました。
eventchristmas2007reward1japan.3	クリスマスイベントが開催中です。
eventchristmas2007reward2japan.1	クリスマスイベントを開始します。
eventchristmas2007reward2japan.2	クリスマスイベントが終了しました。
eventchristmas2007reward2japan.3	クリスマスイベントが開催中です。
eventchristmas2007reward3japan.1	クリスマスイベントを開始します。
eventchristmas2007reward3japan.2	クリスマスイベントが終了しました。
eventchristmas2007reward3japan.3	クリスマスイベントが開催中です。
eventcocacola2007.1	코-크 이벤트를 시작합니다.
eventcocacola2007.2	코-크 이벤트를 종료합니다.
eventcocacola2007.3	코-크 이벤트가 진행중입니다.
eventcoketime2007.1	코-크 타임 이벤트를 시작합니다.
eventcoketime2007.2	코-크 타임 이벤트를 종료합니다.
eventdragonship2008taiwan.1	ドラゴンボートイベントを開始します。
eventdragonship2008taiwan.2	ドラゴンボートイベントを終了します。
eventdragonship2008taiwan.3	ドラゴンボートイベントを再開します。
eventdragonship2008taiwan.4	ドラゴンボートイベントが開催中です。
eventdragonship2008taiwan.5	{0}位 {1}
eventdragonship2008taiwan.6	{0}分 {1}秒:{2}
eventexperiencepet2010europe.1	펫 체험 이벤트가 시작되었습니다.
eventexperiencepet2010europe.2	펫 체험 이벤트를 종료합니다.
eventexperiencepet2010europe.3	펫 체험 이벤트를 다시 시작합니다.
eventexperiencepet2010europe.4	펫 체험 이벤트가 진행중입니다.
eventfantasticsummerfishingkorea.1	Fantastic Summer 낚시 대회 이벤트를 시작합니다.
eventfantasticsummerfishingkorea.2	Fantastic Summer 낚시 대회 이벤트를 종료합니다.
eventfantasticsummerfishingkorea.3	Fantastic Summer 낚시 대회 이벤트를 다시 시작합니다.
eventfantasticsummerfishingkorea.4	Fantastic Summer 낚시 대회 이벤트가 진행중입니다.
eventfirstanniversarychina.1	중국 서비스 1주년 이벤트를 시작합니다.
eventfirstanniversarychina.2	중국 서비스 1주년 이벤트를 종료합니다.
eventfirstanniversarychina.3	중국 서비스 1주년 이벤트가 진행중입니다.
eventfloodhelp2006korea.1	수재민에게 희망을! 행사를 시작합니다.
eventfloodhelp2006korea.2	수재민에게 희망을! 행사를 종료합니다.
eventfloodhelp2006korea.3	수재민에게 희망을! 행사가 진행중입니다.
eventguild2009summerkorea.1	우리 길드로 오세요 이벤트가 시작됩니다.
eventguild2009summerkorea.2	우리 길드로 오세요 이벤트가 종료됩니다.
eventguild2009summerkorea.3	우리 길드로 오세요 이벤트가 진행 중입니다. 길드 마스터님은 길드석을 확인해주세요.
eventhalloween.1	ハロウィンイベントを開始します。
eventhalloween.2	ハロウィンイベントを終了します。
eventhalloween.3	ハロウィンイベントを開催しています。
eventhalloween2008usa.1	ハロウィンイベントを開始します。
eventhalloween2008usa.2	ハロウィンイベントを終了します。
eventhalloween2008usa.3	ハロウィンイベントを開催しています。
eventhalloween2009overseas.1	ハロウィンイベントを開始します。
eventhalloween2009overseas.2	ハロウィンイベントを終了します。
eventhalloween2009overseas.3	ハロウィンイベントを開催しています。
eventhalloween2009overseas.4	ハロウィンイベントを開始します。
eventhalloween2009overseas.5	ハロウィンイベントを終了します。
eventhalloween2009overseas.6	ハロウィンイベントを開催しています。
eventharvest2006korea.1	「水面に映るイウェカ」イベントを開始します。
eventharvest2006korea.2	「水面に映るイウェカ」イベントを終了します。
eventharvest2006korea.3	「水面に映るイウェカ」イベントを再開します。
eventharvest2006korea.4	{0}位:{1} ,
eventharvest2006korea.5	「水面に映るイウェカ」イベントが開催中です。
eventharvestmooncake.1	추석 기념 월병 먹고 키크기 이벤트를 시작합니다.
eventharvestmooncake.2	추석 기념 월병 먹고 키크기 이벤트를 종료합니다.
eventharvestmooncake.3	동물 :
eventharvestmooncake.4	{0}위 {1}
eventharvestmooncake.5	추석 기념 월병 먹고 키크기 이벤트가 진행중입니다. 사람 :
eventharvestmooncake.6	{0}위 {1}
eventharvestsimon2006.1	2006년 추석 한복 이벤트를 시작합니다.
eventharvestsimon2006.2	2006년 추석 한복 이벤트를 종료합니다.
eventharvestsimon2006.3	2006년 추석 한복 이벤트가 진행중입니다.
eventharvestsimon2007korea.1	아름다운 이세계의 옷 이벤트가 시작됩니다.
eventharvestsimon2007korea.2	아름다운 이세계의 옷 이벤트가 종료됩니다.
eventharvestsimon2007korea.3	아름다운 이세계의 옷 이벤트가 진행 중입니다.
eventindependenceday2008usa.1	독립 기념일 이벤트를 시작합니다.
eventindependenceday2008usa.2	독립 기념일 이벤트를 종료합니다.
eventindependenceday2008usa.3	독립 기념일 이벤트를 다시 시작합니다.
eventindependenceday2008usa.4	독립 기념일 이벤트가 진행중입니다.
eventindependenceday2008usa.5	{0}위:{1}
eventjapan2ndanniversary.1	二周年記念イベントを開始します。
eventjapan2ndanniversary.2	二周年記念イベントを終了します。
eventjapan2ndanniversary.3	二周年記念イベントを開催しています。
eventjapan5thanniversary.1	5周年釣りイベントが始まりました。
eventjapan5thanniversary.2	5周年釣りイベントを終了します。
eventjapan5thanniversary.3	5周年釣りイベント中です。
eventlunarnewyear2010.1	{0}年5周年記念ペット育成大会を開始します。
eventlunarnewyear2010.2	{0}年5周年記念ペット育成大会を終了します。
eventmakeice2007japan.1	「いろいろな味のかき氷！」イベントが始まりました。
eventmakeice2007japan.2	「いろいろな味のかき氷！」イベントが終了しました。
eventmakeice2007japan.3	「いろいろな味のかき氷！」イベントが進行中です。
eventmakesnowice2010.1	2010かき氷作りイベントが始まりました。
eventmakesnowice2010.2	2010かき氷作りイベントが終了しました。
eventmakesnowice2010.3	2010かき氷作りイベントが開催中です。
eventmakesnowice2010.4	かき氷の器がいっぱいになった。
eventmaple2007korea.1	紅葉狩りイベントを開始します。
eventmaple2007korea.2	紅葉狩りイベントを終了します。
eventmaple2007korea.3	紅葉狩りイベントを開催しています。
eventmatsuri2009overseas.1	{0}点:{1}
eventmatsuri2009overseas.2	祭りイベントを始めます。
eventmatsuri2009overseas.3	祭りイベントを終了します。
eventmatsuri2009overseas.4	祭りイベントを始めます。
eventmatsuri2009overseas.5	祭りイベントが行なわれています。ハンマー叩き記録 -
eventmatsuri2009overseas.6	{0}位 {1}.
eventmgr.1	{0} イベントが予約中です。 開始時間は {1}年 {2}月 {3}日 {4}時 {5}分 {6}秒で、 終了時間は {7}年 {8}月 {9}日 {10}時 {11}分 {12}秒です。
eventmgr.2	現在、予約されたイベントがありません。
eventmgr.3	{0} 이벤트가 {1}년 {2}월 {3}일 {4}시 {5}분 {6}초에 종료될 예정입니다.
eventmgr.4	이벤트 주기를 조절합니다. 개별 이벤트에 구현되어 있어야 함
eventnationalday2007china.1	국경절 이벤트를 시작합니다.
eventnationalday2007china.2	국경절 이벤트를 종료합니다.
eventnationalday2007china.3	국경절 이벤트가 진행중입니다.
eventnewyear2008japan.1	 
eventnewyear2008japan.2	 
eventnewyear2008japan.3	 
eventnewyear2008koreaseesaw.1	{0} (%4.2fm)
eventnewyear2008koreaseesaw.2	シーソーイベントを開始します。
eventnewyear2008koreaseesaw.3	シーソーイベントを終了します。
eventnewyear2008koreaseesaw.4	シーソーイベント開催中です。
eventnewyear2008koreaseesaw.5	{0}等 {1}. 
eventnewyear2009foreign.1	新春イベントを開始します。
eventnewyear2009foreign.2	新春イベントを終了します。
eventnewyear2009foreign.3	新春イベントが開催中です。
eventnewyear2009foreign.4	今年も残すところ、あと30分となりました。\n皆さんの中には2010年を締めくくる準備をされた方も多いと思います。\n『マビノギ』でも2010年を締めくくる準備をしてみました。
eventnewyear2009foreign.5	あと20分ほどで2011年になりますね。\nもしよければ、仲の良いお友達とご一緒に\n町の見える静かな場所でお喋りなどは如何でしょうか？
eventnewyear2009foreign.6	2010年もあと10分ほどです。\nティルコネイル、ダンバートン、バンホールにイメンマハ、\n是非これらの街で、思い出を残してみてください。
eventnewyear2009foreign.7	さあ、5分後には2011年が始まります。\nダンジョンいる方も、ぜひティルコネイル、ダンバートン、バンホールにイメンマハに来てみて下さい。
eventnewyear2009foreign.8	それでは、カウントダウンです。
eventnewyear2009foreign.9	５
eventnewyear2009foreign.10	４
eventnewyear2009foreign.11	３
eventnewyear2009foreign.12	２
eventnewyear2009foreign.13	１
eventnewyear2009foreign.14	Happy New Year！！！\n今年も皆さんにたくさんの幸せがありますように！！！
eventnewyear2009foreign.15	１０
eventnewyear2009foreign.16	９
eventnewyear2009foreign.17	８
eventnewyear2009foreign.18	７
eventnewyear2009foreign.19	６
eventnewyear2009koreaseesaw.1	お月見シーソーイベントを開始します。
eventnewyear2009koreaseesaw.2	お月見シーソーイベントを終了します。
eventnewyear2009koreaseesaw.3	お月見シーソーイベントが開催中です。
eventnewyear2009koreaseesaw.4	{0}等 {1}
eventnewyear2010koreaseesaw.1	설날 널뛰기 이벤트를 시작합니다.
eventnewyear2010koreaseesaw.2	설날 널뛰기 이벤트를 종료합니다.
eventnewyear2010koreaseesaw.3	설날 널뛰기 이벤트가 진행중입니다.
eventnewyear2010koreaseesaw.4	{0}등 {1}
eventnightfishing2008korea.1	이웨카를 낚아보자 이벤트를 시작합니다.
eventnightfishing2008korea.2	이웨카를 낚아보자 이벤트를 종료합니다.
eventnightfishing2008korea.3	이웨카를 낚아보자 이벤트를 다시 시작합니다.
eventnightfishing2008korea.4	이웨카를 낚아보자 이벤트가 진행중입니다.
eventpaperairplane.1	{0} (%4.2fm)
eventpaperairplane.2	{0} (%4.2f秒)
eventpaperairplane.3	종이비행기  멀리 날리기 이벤트가 시작되었습니다.
eventpaperairplane.4	종이비행기 오래 날리기 이벤트가 시작되었습니다.
eventpaperairplane.5	종이비행기  멀리 날리기 이벤트가 종료되었습니다.
eventpaperairplane.6	종이비행기 오래 날리기 이벤트가 종료되었습니다.
eventpaperairplane.7	종이비행기  멀리 날리기 이벤트를 다시 시작합니다.
eventpaperairplane.8	종이비행기 오래 날리기 이벤트를 다시 시작합니다.
eventpaperairplane.9	종이비행기 멀리 날리기 이벤트가 진행중입니다.
eventpaperairplane.10	종이비행기 오래 날리기 이벤트가 진행중입니다.
eventpaperairplane.11	{0}等 {1}
eventseventhjulytaiwan.1	칠월칠석 이벤트를 시작합니다.
eventseventhjulytaiwan.2	칠월칠석 이벤트를 종료합니다.
eventseventhjulytaiwan.3	칠월칠석 이벤트가 진행중입니다.
eventskiing2008.1	{0}分{1}秒{2}:{3}
eventskiing2008.2	ピシススキー大会を開始します。
eventskiing2008.3	ピシススキー大会を終了します。
eventskiing2008.4	ピシススキー大会を再開します。
eventskiing2008.5	ピシススキー大会が開催中です。
eventskiing2008.6	{0}位:{1} ,
eventskiing2008.7	{0}秒{1}:{2}
eventskijump2009.1	{0}点 : {1}
eventskijump2009.2	スキージャンプイベントを開始します。
eventskijump2009.3	スキージャンプイベントを終了します。
eventskijump2009.4	スキージャンプイベントを開始します。
eventskijump2009.5	スキージャンプイベントが開催中です。
eventskijump2009.6	{0}位 {1}
eventsongpeon2007korea.1	추석 송편 이벤트가 시작됩니다.
eventsongpeon2007korea.2	추석 송편 이벤트가 종료됩니다.
eventsongpeon2007korea.3	추석 송편 이벤트가 진행 중입니다.
eventspringfishing2007taiwan.1	낚시 이벤트를 시작합니다.
eventspringfishing2007taiwan.2	낚시 이벤트를 종료합니다.
eventspringfishing2007taiwan.3	낚시 이벤트가 진행중입니다.
eventsummer2006taiwan.1	여름방학 기념 낚시 이벤트를 시작합니다.
eventsummer2006taiwan.2	여름방학 기념 낚시 이벤트를 종료합니다.
eventsummer2006taiwan.3	여름방학 기념 낚시 이벤트가 진행중입니다.
eventsummerfireworks2007korea.1	2007년 여름 불꽃 놀이 이벤트를 시작합니다.
eventsummerfireworks2007korea.2	2007년 여름 불꽃 놀이 이벤트를 종료합니다.
eventsummerfireworks2007korea.3	2007년 여름 불꽃 놀이 이벤트를 다시 시작합니다.
eventsummerfireworks2007korea.4	2007년 여름 불꽃 놀이 이벤트가 진행중입니다.
eventsummerfireworks2007korea.5	{0}위 {1}
eventsummerfishing2007korea.1	2007년 여름 낚시 대회 이벤트를 시작합니다.
eventsummerfishing2007korea.2	2007년 여름 낚시 대회 이벤트를 종료합니다.
eventsummerfishing2007korea.3	2007년 여름 낚시 대회 이벤트를 다시 시작합니다.
eventsummerfishing2007korea.4	2007년 여름 낚시 대회 이벤트가 진행중입니다.
eventsummerfishing2007korea.5	{0}위:{1}
eventsummervacation.1	여름방학 이벤트를 시작합니다.
eventsummervacation.2	여름방학 이벤트를 종료합니다.
eventsummervacation.3	여름방학 이벤트가 진행 중입니다.
eventsweetdream2008korea.1	{0} (%d点)
eventsweetdream2008korea.2	インプの夢イベントを開始します。
eventsweetdream2008korea.3	インプの夢イベントを終了します。
eventsweetdream2008korea.4	インプの夢イベントが開催中です。
eventsweetdream2008korea.5	{0}等 {1}
eventsweetdream2009korea.1	{0} (%d점)
eventsweetdream2009korea.2	임프의 꿈 이벤트를 시작합니다.
eventsweetdream2009korea.3	임프의 꿈 이벤트를 종료합니다.
eventsweetdream2009korea.4	임프의 꿈 이벤트가 진행중입니다.
eventsweetdream2009korea.5	{0}등 {1}
eventtarafestival2009overseas.1	{0}점:{1}
eventtarafestival2009overseas.2	타라 페스티벌 이벤트를 시작합니다.
eventtarafestival2009overseas.3	타라 페스티벌 이벤트를 종료합니다.
eventtarafestival2009overseas.4	타라 페스티벌 이벤트를 시작합니다.
eventtarafestival2009overseas.5	타라 페스티벌 이벤트가 진행중입니다. 해머치기 기록 -
eventtarafestival2009overseas.6	{0}위 {1}.
eventtreasurebox2010.1	2010古代の宝箱イベントが始まりました。
eventtreasurebox2010.2	2010古代の宝箱イベントが終了しました。
eventtreasurebox2010.3	2010古代の宝箱イベントが開催中です。
eventtreasurefishing2007korea.1	바닷속 고대 유물 낚기 이벤트가 시작됩니다.
eventtreasurefishing2007korea.2	바닷속 고대 유물 낚기 이벤트가 종료됩니다.
eventtreasurefishing2007korea.3	바닷속 고대 유물 낚기 이벤트가 진행 중입니다.
eventtreasurehunting2007china.1	보물상자 이벤트가 시작되었습니다.
eventtreasurehunting2007china.2	보물상자 이벤트가 종료되었습니다.
eventtreasurehunting2007china.3	보물상자 이벤트가 진행중입니다.
eventtreasurehuntingtaiwan.1	이리아 대륙에서 신기한 보물상자 찾기 이벤트를 시작합니다.
eventtreasurehuntingtaiwan.2	이리아 대륙에서 신기한 보물상자 찾기 이벤트를 종료합니다.
eventtreasurehuntingtaiwan.3	이리아 대륙에서 신기한 보물상자 찾기 이벤트가 진행중입니다.
eventvalentine2007korea.1	발렌타인 데이 이벤트를 시작합니다.
eventvalentine2007korea.2	발렌타인 데이 이벤트를 종료합니다.
eventvalentine2007korea.3	발렌타인 데이 이벤트를 다시 시작합니다.
eventvalentine2007korea.4	발렌타인 데이 이벤트가 진행중입니다.
eventvalentine2007korea.5	{0}위 {1}
eventwaterballoonbattle.1	The great waterballoon event has started.
eventwaterballoonbattle.2	The great waterballoon event has started.
eventwinter2007korea.1	アイスソードイベントを開始します。
eventwinter2007korea.2	アイスソードイベントを終了します。
eventwinter2007korea.3	アイスソードイベントを再開します。
eventwinter2007korea.4	アイスソードイベントが開催中です。
eventzombie2009.1	Zombie Event has started.
eventzombie2009.2	Zombie Event\nPoints : {0}
eventzombie2009.3	Zombie Event has ended.
eventzombie2009.4	The Iria Zombie Event is in progress.
eventzombie2009.5	The boss zombie appeared in the northwest!!!
eventzombie2009.6	The boss zombie appeared in the south!!!
eventzombie2009.7	The boss zombie appeared in the northeast!!!
eventzombie2009.8	The Zombie Invasion has began.
eventzombie2009.9	Zombie Event\nPoints : {0}
eventzombie2009.10	The northwest gate was opened!
eventzombie2009.11	The south gate was opened!
eventzombie2009.12	The northeast gate was opened!
eventzombie2009.13	The flag has been attacked by a wave of zombies, It's becoming too dangerous!
eventzombie2009.14	The flag has been slightly crushed down by the zombies.
eventzombie2009.15	We have succeeded in defending the camp.
eventzombie2009.16	Zombie Event\nPoints : {0}
eventzombie2009.17	Zombie Event\nPoints : 0
eventzombie2009.18	Failed to defend the camp.
extendextratrunkkey.1	유료 서비스를 이용 중이 아닙니다.
extendextratrunkkey.2	만료된 확장 인벤토리가 없습니다.
fashionshowapplystate.1	Please wait.
fashionshowapplystate.2	End conversation.
fashionshowapplystate.3	End conversation.
fashionshowapplystate.4	At least four players are needed.
fashionshowapplystate.5	At least four players are needed.
fashionshowapplystate.6	At least four players are needed.
fashionshowapplystate.7	At least four players are needed.
finishcounter.1	戦闘参加探検経験値 +{0} exp
fishingpromotiontest.1	提出しました。
fishingpromotiontest.2	現在の点数: {0}
hamletsswordmgr.1	消えたハムレットの剣を出現させます。
harvestfestival2010korea.1	라데카 그림자 낚시 이벤트를 시작합니다.
harvestfestival2010korea.2	라데카 그림자 낚시 이벤트를 종료합니다.
harvestfestival2010korea.3	라데카 그림자 낚시 이벤트를 다시 시작합니다.
harvestfestival2010korea.4	라데카 그림자 낚시 이벤트가 진행중입니다.
japanextendbagkey.1	このアイテムで有効期間を延長できるカバンがありません。
japanextendbagkey.2	カバンの使用期間が{0}日延長されました。
joust.1	開始前
joust.2	トーナメント会場へワープ
joust.3	Ready
joust.4	Mount
joust.5	Command
joust.6	Attack
joust.7	Preparation
joust.8	Award
joust.9	Complete
jouststates.1	You can participate in jousting.
jouststates.2	Jousting has been canceled.
jouststates.3	{0} opens with {1} participants.
jouststates.4	Now conducting other games, please wait.
jouststates.5	New opponent found.\nWaiting for confirmation.\nPlease wait.
jouststates.6	NPC
jouststates.7	NPC
jouststates.8	Please wait for the opponent.
jouststates.9	{0}\nCalculating results.
jouststates.10	{0} matching has failed. {1}
jouststates.11	Unable to participate. Automatically forfeited from jousting.
jouststates.12	Unable to participate. Automatically forfeited from jousting.
jouststates.13	Unable to participate. Automatically forfeited from jousting.
jouststates.14	Failed to add to vanquished list {0}. pRoundLooserList NULL. Round {1}
logutility.1	Time up
logutility.2	Give up
logutility.3	Exit
logutility.4	Force end
logutility.5	Beginner
logutility.6	Intermediate
logutility.7	Advanced
logutility.8	Hard
logutility.9	Elite
lostpeoplemgr.1	進行中のクエストが失敗しました。
luckyupgraderollback.1	該当アイテムが見つかりません。
luckyupgraderollback.2	職人改造されていないアイテムです。\n職人改造されたアイテムにのみ使用できます。
luckyupgraderollback.3	職人改造された後、他の改造された\nアイテムには使用できません。
luckyupgraderollback.4	{0}の職人改造を復元し\n改造に使用した修練値を返してもらいました。
luckyupgraderollback.5	職人改造に失敗しました(1)。\n不具合掲示板に報告してください。
luckyupgraderollback.6	職人改造に失敗しました(2)。\n不具合掲示板に報告してください。
mailboxmgr.1	Invite
mailboxmgr.2	Validate
mailboxmgr.3	Letter
