ego.1	Soc
ego_eiry.127	放牧地にいるデイアンさんが呼んでるみたいです！<br/>放牧地は、ティルコネイルの北東部あたりですよっ。<br/>わたしが地図をお見せしますね。<p/><image local='true' name='map_tirchonail_small' width='318' height='396' />どうですか？<br/>放牧地、ありましたか？<br/>ミニマップと比較してみてくださいねっ！<br/>ミニマップを表示したいときは、Ｍキーを押してみてくださいね。<p/>デイアンさんは、刃がある道具を持って来て欲しいって言ってますが、<br/>実は、羊毛はわたしの宿ってる剣でも刈れちゃいます！<br/>それか、鍛冶屋さんで売ってる採集用ナイフでも良いですよ。<p/><image name='npctalk_nora_howtowool'/>剣かナイフを持って<br/>羊さんに近づいたあと、<br/>羊さんにマウスカーソルをあてると<br/>図のようにカーソルが変わります。<p/><image name='npctalk_nora_howtowool'/>この状態で羊さんをクリックすると<br/>羊毛を刈れますよ！<br/>羊さんが動くと刈れないので<br/>羊さんが止まったらすぐ刈りはじめてくださいね！<p/>
ego_eiry.128	キツネさんたちは、そんなに狩りづらい相手ってワケじゃないです。<br/>ディフェンススキルを使ってきますが、<br/>単純な攻撃しかできないんです。<p/>ピカッと光って、ゆっくり歩きはじめたら<br/>ディフェンススキルを使ってるコトになります。<br/>そんなときは要注意ですよ、ご主人さまっ！<p/>
ego_eiry.129	こんなときは、スマッシュスキルで反撃すれば大丈夫ですよ！<p/>
ego_eiry.130	ここでスマッシュスキルを使えると便利なんですが…<br/>まだ、ご主人さまはスマッシュスキルはご存知ないようなので、<br/>今のトコは、キツネさんがディフェンススキルを解除するまで待つしかありません。<p/>魔法や弓で遠くから一度攻撃して<br/>ディフェンスを解除させるコトもできますが…<p/>
ego_eiry.131	赤キツネさんは、ティルコネイルの北東にいっぱいいますよっ。<br/>デイアンさんがいる近くにもちょっといます。<br/>そうだ！ そろそろご主人さまも、ティルコネイルに慣れてきましたよね？<br/>次からは、わたしが地図を見せなくても大丈夫ですか？<p/><image local='true' name='map_tirchonail' width='512' height='475' x='256' y='0' />ハイ！ どうですか？<br/>どこにいるかわかりましたか？<p/>わたしが「赤キツネ」、<br/>「灰色キツネ」って<br/>書いておいたトコです。<p/>あっ！ まだキアダンジョンに入らないでくださいね？<br/>そこは、今のご主人さまが挑戦するには<br/>かなり難しいダンジョンなので…っ！<p/>
ego_eiry.132	灰色キツネさんも赤キツネさんと似たような動物さんです。<br/>キツネさんたちはみんなそうですよ？<br/>生命力の差があるだけで、基本的にはディフェンススキルを使いながら、<br/>単純な攻撃しかしてきません。<p/>ピカッと光って、ゆっくり歩きはじめたら<br/>ディフェンススキルを使ってるコトになります。<br/>これはもう、ご主人さまもご存知ですよねっ？<p/>
ego_eiry.133	こんなときは、スマッシュスキルで反撃すれば大丈夫ですよ！<p/>
ego_eiry.134	ここでスマッシュスキルを使えると便利なんですが…<br/>まだ、ご主人さまはスマッシュスキルはご存知ないようなので、<br/>今のトコは、キツネさんがディフェンススキルを解除するまで待つしかありません。<p/>魔法や弓で遠くから一度攻撃して<br/>ディフェンスを解除させるコトもできますが…<p/>
ego_eiry.135	灰色キツネさんは、赤キツネさんがいる場所より<br/>もっと北東に進むといっぱいいます。<p/><image local='true' name='map_tirchonail' width='512' height='475' x='256' y='0' />どこにいるか<br/>わかりましたか？<p/>わたしが「赤キツネ」、<br/>「灰色キツネ」って<br/>書いておいたトコです。<p/>あっ！ まだキアダンジョンに入らないでくださいね？<br/>そこは、今のご主人さまが挑戦するには<br/>かなり難しいダンジョンなので…っ！<p/>
ego_eiry.136	ナオさんから、村長のダンカンさんに会うように<br/>って手紙が来ましたっ。<br/>村長のダンカンさんのトコに行けば、<br/>ナオさんが預けたプレゼントがもらえますよ！<p/>…もしかしてご主人さま？<br/>まさかダンカンさんが<br/>どこにいるのか忘れ…てはいませんよね？<p/>あっ。もしわからなくても大丈夫ですよ！<br/>わたしの「ここはどこ？」メニューを使ってみてくださいっ。<br/>村長さんは、いつも「村長の家」近くにいますよ。<p/>
ego_eiry.137	ご主人さまっ！ 鍛冶屋のファーガスさんから<br/>一度立ち寄って欲しいっていう手紙が来ましたっ。<br/>ファーガスさんは、武器を修理してくれたり<br/>鍛冶屋さんで作ったアイテムを売ったりしてるヒトです。<p/><image local='true' name='map_tirchonail_small' width='318' height='396' />一度地図をお見せしますね。<br/>鍛冶屋さんがどこにあるか確認できましたか？<p/>武器や服の耐久度が0になると<br/>そのアイテムはそれ以上使えません。<p/>なので、服を修理する職人や<br/>武器を修理する鍛冶師さんにお願いして、<br/>直してもらう必要があります！<p/>わたしの耐久度も鍛冶屋さんで回復できますし、<br/>伐採用斧や採集用ナイフもファーガスさんが直せます。<br/>もちろん他の武器も直せるハズですよっ。<p/>修理したいときは、ファーガスさんに話しかけたら、<br/>アイテム修理ボタンを押して、修理したい武器を選んで…<br/>あとは修理費を確認して、直してもらうだけですっ。<p/>え？ あ。ハイ！<br/>もちろん、アイテムを修理するには修理費がかかっちゃいます。<br/>修理してくれるヒトごとに、修理の腕前を表す修理の成功率や<br/>修理費も変わってきますっ。<p/>だからといって、もっと腕前の良いヒトを探すために<br/>他の村まで行く必要は、今のトコはありません。<br/>まだ…わたしを修理して使ってもらうだけで<br/>十分ですから…。<p/>ご主人さま……。<p/>…………<p/>わ、わたしが……<p/>わたしが…ご主人さまの元を去ったら……<p/>その…ときは、あ…新しい武器を買って…<br/>修理したり……改造したりしながら、<br/>楽しく…過ごしてくださいね……。<p/>
ego_eiry.138	以前、白クモさんを捕まえたコトは覚えてますか？ ご主人さま。<br/>その白クモさんが落とした蜘蛛の糸を<br/>マルコムさんが持ってきて欲しいそうですっ。<p/><image local='true' name='map_tirchonail_small' width='318' height='396' />白クモさんたちは墓地にいます。<br/>アルビダンジョンの中にもいるんですが、<br/>あえてダンジョンに行く必要はありませんよ！<p/>インベントリに蜘蛛の糸を入れてマルコムさんに話しかけると<br/>紡績スキルについて教えてくれると思いますが、<br/>そういった生活関連のスキルは、<br/>まだトレーニングする必要はないと思いますっ。<p/>わたしと過ごす時間が終わったあとからでも、<br/>戦士としてのご主人さまじゃない他の姿も、<br/>ここエリンでは探せますから…。<p/>今はとりあえず、ご主人さまに、ひとりで生きていける戦士として<br/>一人前になっていただくのがわたしの使命っ！<br/>ご主人さま……。<p/>わたしと…別れた後も…<p/>こうしてふたりで一緒に過ごした時間を、<br/>ふとしたトキにでも思い出して…くれると、ウレシイです…。<br/>
ego_eiry.139	ケイティンさんが木の実を5個持ってきて欲しいそうですっ。<br/>ご主人さま、緑の玉を手に入れたときのコト、覚えてますか？<p/><image local='true' name='npctalk_prop_hit' width='320' height='200'/>そのときと同じ要領で、<br/>ティルコネイル近くの<br/>小さな木の茂みを叩いてください！<p/>ケイティンさんは、ティルコネイルの広場の近くにある食料品店にいます。<br/>久々に、わたしが地図をお見せしますねっ。<p/><image local='true' name='map_tirchonail_small' width='318' height='396' />どこにあるかわかりましたか？<p/>木の実を採ってる間にインベントリが足りなくなっちゃったら、<br/>銀行にアイテムを預けるのも手ですよ！<p/><image local='true' name='map_tirchonail_small' width='318' height='396' />もちろん、銀行も広場の近くにあります。<br/>見つかりました？<p/>銀行の利用方法はー…<br/>もうわたしが説明しなくても大丈夫ですよね？<p/>
ego_eiry.140	エンデリオンさんが、小麦粉を1袋持ってきて欲しいみたいです。<br/>では早速、小麦から準備してみましょうか！<p/><image local='true' name='map_tirchonail_small' width='318' height='396' />ティルコネイルの南西、<br/>わたしが'小麦と大麦を採れる場所'って<br/>書いておいた場所は見つかりましたか？<br/>そこが農耕地って呼ばれる場所です！<p/><image name='npctalk_howtohavest'/>農耕地では<br/>鎌で小麦や大麦を刈れちゃいますっ。<p/><image name='npctalk_howtohavest'/>鍛冶屋でファーガスさんから鎌を買ったら、<br/>農耕地に行って、小麦畑にマウスカーソルを合わせてみてください。<br/>カーソルが鎌の模様に変わった場所をクリックすると<br/>小麦を刈れます。<p/>小麦粉を1袋作るとすると、なんと！<br/>小麦が10個必要なんです！<br/>小麦粉を作るのが一度で成功するとは限らないので、<br/>ちょっと余裕を見て多めに収穫しておいた方が良いかもしれませんっ。<p/>インベントリが足りなければ、<br/>銀行にアイテムを預けておくのも<br/>良いですよっ！<p/>あ。そうだっ。小麦粉の作り方もお教えしないといけませんね！<br/>小麦粉は、風車のトコまで行って<br/>そばにいるアリサさんに使用料を払って、<br/>風車を動かしてもらってくださいっ。<p/><image local='true' name='map_tirchonail_small' width='318' height='396' />風車は見つかりましたか？<p/><image name='npctalk_howtomill'/>風車の近くで右クリックしてカメラを回すと<br/>風車の中に臼があるのが見えると思いますっ。<br/>臼にカーソルをあてると、上の図のように変わります。<p/><image name='npctalk_howtomill'/>このときクリックすると<br/>運が良いと風車を使えますが、たいていは使えないコトが多いです。<p/><image name='npctalk_howtomill'/>使えないときは、<br/>隣にいるアリサさんに話しかけて、使用料を払うと、<br/>風車を動かしてもらえます。それからもう一度クリックしてみると、<br/>臼が使えるようになりますよっ！<p/>風車を使うメニューは<br/>わたしがお話しなくても<br/>ご主人さまならよーくご存知だと思います！
ego_eiry.141	トレボーさんから、アルビ初級ダンジョンに行ってみないか、っていう<br/>手紙が来ましたっ。<br/>いよいよダンジョンですね…！<p/>じゃあ、まずはトレボーさんのトコに行って、<br/>アルビダンジョンに関する説明を聞いてみましょうか！<p/>あっ。あと、ダンジョンに入る前に、あらかじめ<br/>いくつかポーションを準備しておいてくださいねっ。<br/>トレボーさんのトコからはヒーラーさんちも近いので、<br/>ポーションを買うのにも便利ですよっ。<p/>説明が終わったら、トレボーさんが<br/>アルビ初級ダンジョンの通行証をくれると思うので、<br/>それをアルビダンジョンの祭壇に落として入ってみてください。<p/>1回通行証を使ったあと、またダンジョンに入りたいときは<br/>トレボーさんから通行証をもらえますよっ。<p/>アルビ初級ダンジョンは、ボスルームの赤クモさんが手強いです！<br/>今まで相手にしてきた動物さんたちとは全く違いますよっ。<p/>っていうワケで、わたしから役に立つヒントをひとつ！<br/>必ず1:1で戦って、倒されたらディフェンス！ これです!!<br/>モンスターさんやご主人さまが倒れたり<br/>攻撃の流れが途切れたときは、必ずディフェンススキルを使ってください！<p/>晴れてボスモンスターさんを倒せたら、<br/>ボスルームの後ろにある部屋の宝箱を開けて、アイテムを拾ってくださいね！<br/>そのあと、宝箱のそばにある女神像をクリックすると、ダンジョンから出られるので、<br/>そのままトレボーさんのトコに行って報告すれば、クエスト完了ですっ！<p/>
ego_eiry.142	灰色オオカミさんを捕まえなきゃいけないんですよね？<br/>ご主人さまはアルビ初級ダンジョンをクリアしてるので、<br/>灰色オオカミさんもそう難しくないですよっ。<p/><image local='true' name='map_tirchonail_small' width='318' height='396' />灰色オオカミさんは、ティルコネイル南の草原にいます。<br/>わたしが'オオカミ注意'って書いた場所を<br/>探してみてくださいっ。<p/><image local='true' name='map_tirchonail_small' width='318' height='396' />見つかりましたか？<br/>農耕地の下、ちょっと南の方にありますよ！<br/>鍛冶屋さんから南に行っても行けますっ。<p/><image local='true' name='npctalk_modechange' width='310' height='214'/>灰色オオカミさんは、日常モードで近づけば<br/>先に攻撃してくるコトはありません。<p/><image local='true' name='npctalk_graywolf_counter'/>灰色オオカミさんは、カウンターっていうスキルを使います。<br/>カウンターは、相手の攻撃を待ちながら<br/>攻撃してくる相手の力を利用して<br/>殴り返すスキルです！ スゴイですよね！<p/><image local='true' name='npctalk_graywolf_counter'/>図のように、<br/>相手のカラダがピカッと光った後、その場から動かないで、<br/>'グルルルル…'って唸りながら、ご主人さまが近づいてくるのを待ってるようだったら、<br/>相手はカウンタースキルを使ってます。<p/><image local='true' name='npctalk_learning_counter' width='290' height='196'/>そのとき、もしご主人さまが相手を攻撃すると、<br/>上の絵のように、反撃されちゃいます。<br/>ご主人さまの攻撃が強ければ強いほど、<br/>受けるダメージは大きくなっちゃいますよ！<p/><image local='true' name='npctalk_learning_counter' width='290' height='196'/>でも、1回くらいはカウンタースキルを受けてみてください。<br/>カウンタースキルは、ご主人さま自ら体験してこそ、<br/>習得するコトができるので…。<p/><image local='true' name='npctalk_graywolf_counter'/>相手がカウンタースキルを使っていた場合、<br/>相手がカウンターを解除するまで待つか、<br/>魔法や弓で遠くから攻撃すると良いですよっ。<p/>あと、もうひとつっ！ 灰色オオカミさんの相手をしてるときは、<br/>近くの白オオカミさんに攻撃されないよう注意してください。<br/>白オオカミさんは灰色オオカミさんよりずっと強いんです。<p/>
ego_eiry.143	黒オオカミさんと戦わなければ<br/>ならないんですよね？<br/><image local='true' name='map_tirchonail' width='512' height='475' x='256' y='0' />「黒オオカミに注意！」<br/>って書いてある場所を<br/>探してみてください。<p/>黒オオカミさんは、灰色オオカミさんよりずっとずーっと強いですよ！<br/>今まで学んだコトを生かして、頑張ってください!!<p/>このクエストを無事にクリアできれば、<br/>きっとキアダンジョンにも行けますよっ。<p/>…………<p/>…ご主人さまとのお別れのときが…近づいてきちゃいましたね。<p/>ご主人さま…<p/>ひとつだけ、お願いです…。<p/>もっと…もっと強くなってください…！<p/>わたしがいなくても、ひとりエリンで生きていけるような<br/>強い戦士に…！<p/>
ego_eiry.144	村長のダンカンさんが呼んでるみたいです。<br/>ちょっと休憩して<br/>村長のダンカンさんに会いに行きましょうっ。<p/>今までは、エリンでの戦い方を学んできましたが、<br/>エリンでは、戦士としてだけじゃなく、<br/>いろんな人生を楽しめるんですよ！<p/>これからもっと強くなって余裕がでてきたら、<br/>そのときは、ご主人さまがやりたいコトを<br/>思いっきり楽しんでくださいねっ！<p/>でも…<p/>そのときはもう、<br/>わたしは…<br/>ご主人さまのおそばにはいられませんが…。<p/>
ego_eiry.145	<image local='true' name='map_tirchonail_small' width='318' height='396' />白オオカミさんは<br/>灰色オオカミさんがいる場所から<br/>もうちょっと北東の方に進むといますよっ。<p/>ご主人さまはもう、オオカミさんの速さはご存知ですよね？<br/>白オオカミさんはもしかしたら一番手強い相手かも知れません。<br/>頑張ってください、ご主人さまっ！<p/>
ego_eiry.146	褐色ダイアウルフさんは<br/>キアダンジョンへと続く道にいます。<p/><image local='true' name='map_tirchonail' width='512' height='475' x='256' y='0' />褐色ダイアウルフに注意！<br/>って書いてある場所は<br/>見つかりましたか？<p/>今まで磨き上げてきたご主人さまの実力なら<br/>きっとこの任務を達成できるハズです！<br/>一緒に頑張りましょう!!
ego_eiry.147	ご主人さま、これからキア初級ダンジョンに行くんですよね？<br/>もし、ダンジョンのクリアに失敗して<br/>通行証がもっと必要になっても<br/>またデイアンさんからもらえるので、心配しなくて大丈夫ですよ！<p/>あと、ここから先は、戦闘でのアドバイスですが…<br/>ダンジョンでモンスターさんがいっぱい出てきたとしても、<br/>慌てずに、感嘆符を出してる相手だけ、<br/>先に攻撃してください。<p/>相手の攻撃力は弱い方なので、<br/>ご主人さまが攻撃を受けてダウンしてしまっても、<br/>落ち着いて、次にどのスキルで反撃するか、<br/>考えれば大丈夫です！<p/>でも、弓を使うゴブリンアーチャーは、<br/>ちょっと手強いので、十分に注意してくださいねっ。<p/>ボスであるゴーレムは、キアダンジョンのゴーレムより弱い…かな？<p/>もし、ゴーレムが地面をドスンドスン叩いてスキルを使ってるみたいだったら、<br/>ゴーレムが打ってる場所からできるだけ離れて、<br/>Shiftキーを押して地面をクリックしながら歩くか、<br/>じっと立ってれば、攻撃を避けるコトができますよ！<p/>
ego_eiry.148	<image local='true' name='npctalk_AP' width='468' height='274'/>エリンの世界には、特殊な攻撃をしたり、<br/>何かを作ったり、魔法を使えるようにしてくれる<br/>いろんなスキルがいっぱいありますが、<br/>それらをすべて習えるワケではありませんっ。<p/><image local='true' name='npctalk_AP' width='468' height='274'/>ご主人さまが習えるスキルの数は<br/>アビリティポイント、略してAPっていうモノで制限されてます。<br/>つまり、スキルごとに習ったり、ランクアップするのに必要なAPが決まっていて、<br/>そのAPよりご主人さまが持ってるAPが足りないと…<p/><image local='true' name='npctalk_AP' width='468' height='274'/>覚えるコトができないんです。<br/>APを増やすには、レベルアップをしたり、<br/>APをくれるクエストを完了させたり、<p/>転生したり、アントレインしたり…と、<br/>結構いろんなコトをしなければなりません。<p/><image local='true' name='npctalk_AP' width='468' height='274'/>なので、スキルを習うときは、<br/>残ったAPをよーく確認して、<br/>そのスキルを習うべきかどうか、慎重に考えてくださいねっ。<p/>
ego_eiry.149	戦闘の基本はやはり<br/>相手より強い武器を選ぶこと！<br/>このあたりにいる{0}さんなら、わたしを持って戦えば<br/>問題ありません。<p/><image local='true' name='npctalk_inventory' width='312' height='282' />下のメニューや、<br/>Ｉキーを押して<br/>左の装備枠の武器スロットに<br/>わたしが入れてあるか確認してみてくださいっ。<p/><image local='true' name='npctalk_equipselect' width='390' height='203' />あ。もしかして、<br/>わたしを持ってるのに<br/>ご主人さまの姿を見ると、手ぶらになってたりしますか？<p/>そんなときは、基本装備と補助装備を一度変更してみてくださいっ。<br/>図のようにTabキーを押すと、切り替えられますよ！<p/><image local='true' name='npctalk_skillicon' width='694' height='180' />そして、使いたいスキルは<br/>いつでも簡単に使えるように<br/>短縮ウィンドウに登録しておくと便利ですよ！<p/>ディフェンススキルを登録してなかったら、<br/>わたしが見せた図のようにしてみてくださいっ。<p/><image local='true' name='npctalk_skillicon' width='694' height='180' />F12にディフェンススキルを登録したら、<br/>F12キーを押すか、短縮アイコンをクリックすると<br/>スキルが使えます。<p/>でも、アイコンをクリックしたり、ショートカットキーを押しても<br/>スキルがすぐに使えるワケではありません！<br/>エリンでスキルを使うためには、準備時間が必要なんですっ。<p/><image local='true' name='npctalk_skillprocessing'/>スキルを使うとご主人さまの頭の上に<br/>選択したスキルアイコンが左の図のように表示されます。<br/>大きさが大きくなったり小さくなったりしてるのは<br/>スキル準備中！ って意味なんです。<p/><image local='true' name='npctalk_skillprocessing'/>スキルごとに決まった時間が過ぎると、<br/>風船の大きさが右のように大きく固定されます。<br/>これでスキル準備完了です！ バシッと使ってみてくださいっ。<p/><image local='true' name='npctalk_skillprocessing'/>ディフェンススキルは、<br/>スキル準備完了後も歩くコトは可能で、<br/>相手からの攻撃ダメージを1回、抑えるコトができます！<br/>スマッシュスキルは、相手に近づいて強烈な一撃を放つスキルです。<p/><image local='true' name='npctalk_skillprocessing'/>スキルの使い方は大体こんなカンジです。<br/>エリンでの戦闘は、相手がどんなスキルを使ってくるかを見極めて、<br/>自分がどんなスキルで対応すれば良いかを<br/>見定めるコトが大切です。<p/>ご主人さまも早く慣れるように頑張ってくださいね！<p/><image local='true' name='npctalk_hate_battlemode' width='306' height='200' />動物さんやモンスターさんが<br/>自分を攻撃する相手かどうかは<br/>彼らの名前のあたりをよーく観察するとわかりますよっ。<br/>図のように、感嘆符で相手の状態をチェックしてみてください。<p/><image local='true' name='npctalk_hate_battlemode' width='306' height='200' />赤い感たとえば、嘆符がひとつ表示されて<br/>相手の行動が変化したら、<br/>ご主人さまを見つけ、警戒し始めたというコトです。<p/><image local='true' name='npctalk_hate_battlemode' width='306' height='200' />赤い感嘆符が2つ表示されたら<br/>ご主人さまを敵とみなして<br/>これから攻撃するぞ！ って意味になります。<p/><image local='true' name='npctalk_hate_battlemode' width='306' height='200' />もちろん、{0}さんの群れを相手にする場合<br/>ご主人さまを攻撃する{0}さんが<br/>少ない方が良いですよね？<br/>そんなときは、まず1匹ずつを相手にするコトが重要です。<p/><image name='npctalk_foodgauge_1' />そして、1匹ずつ倒したあと<br/>必ず、ご主人さまのスタミナを確認してください！<br/>スタミナがないと、まともに攻撃できないので、気をつけてくださいねっ。<p/><image local='true' name='npctalk_targeting' width='256' height='256' />コントロールキーを押すと、<br/>ご主人さまに近づいてくる{0}さんに自動で照準を合わせるコトができます。<p/>コントロールキーを押してる状態なら<br/>{0}さんにマウスカーソルを合わせずに<br/>画面の好きなトコをクリックするだけで<br/>{0}さんに攻撃するコトができますよっ。<p/>
ego_eiry.150	ここには赤キツネさんや灰色キツネさん、<br/>黒オオカミさんや褐色ダイアウルフさんとかがいますよっ。<br/>
ego_eiry.151	ご主人さまは、ここでキツネさんたちと戦うのが良いと思います。<br/>キアダンジョンには、もうちょっと強くなってから行きましょう？
ego_eiry.152	ご主人さまは、黒オオカミさんや褐色ダイアウルフさんたちとの<br/>戦いには慣れてきましたが…<br/>キアダンジョンに挑戦するのは、<br/>もうちょっと後にした方が良いと思います…っ。
ego_eiry.153	</p>ここなら、赤キツネさんを狩るクエストを<br/>簡単にクリアできるハズです！
ego_eiry.154	</p>ここなら、灰色キツネさんを狩るクエストを<br/>簡単にクリアできるハズですよっ！
ego_eiry.155	アタックスキルは、とってもステキなスキルです！<br/>攻撃にも使いますが、何より、ランクアップすると、<br/>生命力に10点ボーナスの効果がつくんですよっ。<p/>わたしと一緒のトキに、<br/>せめてＤランクまではランクアップさせてみましょう！<p/>
ego_eiry.156	スマッシュスキルは、ご主人さま自身が強くなればなるほど、<br/>本当に強いスキルになります！<br/>スマッシュスキル1発で、<br/>クマさんを倒しちゃった戦士さんたちもいたりします！<p/>今、もしスマッシュスキルを習うなら、<br/>一度にいっぱい使わずに、<br/>自分を狙っていない相手に、最初に1回使うくらいにしてくださいっ。<br/>それもキツネさんくらいの弱い相手にのみ使ってくださいね。<p/>スマッシュを受けた相手の反撃をかわすのは<br/>すっごくムズカシイんです。<p/>そうですね…例えば、<p/>スマッシュを1回放ったら素早く遠くに離れて、<br/>ディフェンススキルを準備しつつ、<br/>相手がどんな攻撃をしてこようとしてるのか<br/>確認するのも良い方法です！<p/>スマッシュスキルを習いたいときは、、<br/>村のヒトとの会話で、「スキルについて」をクリックして<br/>聞いてみてください。<br/>学校の女性の先生に聞聞けば、教えてくれますよ！<p/>
ego_eiry.157	ウィンドミルは、<br/>多数の相手に囲まれたとき、ピンチを脱出するのに便利なスキルです。<br/>ウィンドミルを使えば、ご主人さまの周辺の全ての相手に<br/>攻撃を加えるコトができちゃいます！<p/>でも同ときに、攻撃された相手が<br/>ご主人さまを狙う可能性があるコトは、絶対忘れないでくださいね？<p/>なので、多数の相手を攻撃するっていうよりは<br/>1:1 の状況で、相手が倒れたり後ずさりしたら、<br/>すぐウィンドミルを準備して…<br/>相手が向かってきたらスキル発動！ …っていうのも良いと思います。<p/>あ。でも、便利な分、使えば使うほど<br/>ご主人さまの生命力が減っちゃうので、注意してくださいねっ。<p/>
ego_eiry.158	マジックマスタリは、その名のとおり<br/>魔法に関するスキルで、<br/>魔法を使うトキに消費するマナの最大量を増やせる<br/>便利スキルです！<p/>ディフェンスやカウンター、 ウィンドミルとかで<br/>近づいてきたご主人さまに反撃しようと構えてる相手には<br/>矢や魔法攻撃が有効なので、<br/>マジックマスタリを覚えておくと便利ですよっ。<p/>でも、マジックマスタリや魔法を覚えようとすると<br/>結構お金がかかるので、<br/>お金がたまるまでは弓を使うのも良いかもしれません。<p/>
ego_eiry.159	メイキングマスタリは、何かアイテムを作るとき、<br/>その成功率を左右するDexに<br/>ボーナスを与えてくれるスキルです！<p/>この先、ご主人さまが強くなって<br/>エリンでの生活に困らなくなったら、<br/>メイキングマスタリとかのスキルを習うのも良いと思います。<br/>エリンではやれるコトがいっぱいありますからっ！<p/>
ego_eiry.160	このエリンは死のない世界で、とっても平和ですが<br/>実際は、暗い面や神秘的な現象もあるんです。<br/>突然誰かから送られてきた小さな手紙1枚が、<br/>ご主人さまを巻き込む、大きな冒険の始まりになるときもあります。<p/>でも、そんな大冒険をするためには、<br/>それだけご主人さまも強くならないと！<p/>もし、雪だるまの秘密、っていうクエストを受け取ったら、<br/>それは、ご主人さまにもいよいよ冒険に赴く機会が訪れた、ってコトです。<br/>なので、いつか来るそんな冒険のためにも<br/>今は、一人前の戦士を目指して頑張っていきましょう！<p/>
ego_eiry.161	わたしと旅しながら受け取るいろんなクエストのうち、<br/>後まわしにしても大丈夫なモノについて説明しますね！<p/>一言で言うと、どのクエストも必ずやらないといけない！ ってコトはゼンゼンありません！<br/>ご主人さまの人生は、ご主人さまのモノ！<br/>やりたいトキに、やりたいクエストをやるのが一番ですよっ。<p/>あ。でも、クエストやアルバイトにばっかり<br/>没頭しないようにしてくださいね？<p/>村のヒトたちとのお話、川辺での釣り、楽器を使っての演奏…。<br/>エリンでの生活は、クエストやアルバイトだけじゃありません。<br/>いろんなコトに挑戦してみてくださいね！<p/>
ego_eiry.162	ご主人さまも、すっかりティルコネイルに慣れてきたみたいですね！<br/>もう、わたしが説明しなくても大丈夫ですか？<button title='地域案内を続ける' keyword='@option_on'/><button title='地域案内を中断する' keyword='@option_off'/>
ego_eiry.163	ハイ、これからも一生懸命説明しますね！
ego_eiry.164	ハイ…じゃあ、これからは説明しないようにします…。
ego_eiry.165	ご、ご主人さまっ！<br/>ついにダンジョンのボスを倒しましたね！<br/>おめでとうございます!!<p/><image name='npctalk_clear_dungeon_0'/>あっちの…北の方向を見ると、<br/>開いてる扉が見えると思います。<br/>ミニマップの、ボスルームの上に表示されてる部屋です。<br/>その中に入ると、大きな女神像と小さな宝箱があります。<p/><image name='npctalk_clear_dungeon_0'/>女神像をクリックすると、<br/>ダンジョンのロビーへ出るコトができるんですが…<br/>その前に宝箱をクリックして、<br/>中に入ってる宝物を忘れずにもらっておいてくださいね？<p/><image name='npctalk_clear_dungeon_0'/>宝箱は、ボスを倒すともらえる<br/>宝箱のキーで開けるコトができちゃいます！<br/>今、頭の上にキーが浮かんでますよね？<br/>キーを持ってるヒトの頭の上には、キーが浮かぶんです。<br/>今は、ご主人さまのインベントリにキーが入ってるハズです。<p/><image name='npctalk_clear_dungeon_0'/>ダンジョンの途中の<br/>部屋にあった箱を開けるみたいに<br/>キーを持ったまま宝箱をクリックすると、開けられますよ！<p/>開けると、中に入ってた宝物が地面に落ちるので、拾ってください。<br/>Altキーを押しっぱなしにするとアイテム名が表示されるので、<br/>それをクリックしても良いですよっ。<p/><image name='npctalk_clear_dungeon_1'/>外に出たいときは、<br/>女神像をクリックするだけで、ロビーへ移動できちゃいますよ！<p/><image name='npctalk_clear_dungeon_1'/>女神像をクリックするのが<br/>ご主人さまが本当にこのダンジョンをクリアした！ っていう証になるので、<br/>必ず女神像をクリックしてダンジョンを出てくださいねっ。<p/>ダンジョンクリアが条件のクエストの場合、<br/>そうしないと任務を完遂できないコトがよくあるんです。<br/>忘れないでくださいね！<br/>
ego_eiry.166	こんにちは、ご主人さま！<br/>わたしは、エリンに初めて訪れた<br/>初心者の冒険者さんたちを案内する精霊です！<p/>そのためだけに生まれた精霊なので<br/>短い間しかおそばにいられませんが……<br/>その間一生懸命サポートしますね！<p/>わからないコトがあれば、いつでもわたしに聞いてください。<br/>わかる範囲でお答え致しますっ。<br/>これからよろしくお願いしますね！
ego_eiry.167	<button title='今やらなければいけないことは？' keyword='@tips_gamequest'/><button title ='主要地域の位置' keyword='@tips_point'/><button title ='ゲームTips' keyword='@tips_general'/>
ego_eiry.168	<button title ='他の話をする' keyword='@hellene'/><button title = '詳しい説明を聞く' keyword='@deepen'/>
ego_eiry.169	<listbox page_size = '5' title = 'ゲームTips' cancel = '@breakloop'><button title='うまく戦闘するには？' keyword='@goodfighting' /><button title='空腹、キャンプペナルティとは？' keyword='@parameters' /><button title='クエストとは？' keyword='@quests' /><button title='他の人との交流' keyword='@communication' /><button title='アイリのアドバイス' keyword='@general' /></listbox>
ego_eiry.170	<listbox page_size = '7' title = 'うまく戦闘するには？' cancel = '@breakloop'><button title='戦闘の基本' keyword='@howtocombat' /><button title='キャラクターが勝手に攻撃してしまいます' keyword='@autoattack' /><button title='自分の思うように攻撃するには？' keyword='@manualattack' /><button title='戦闘中、行動不能になったら？' keyword='@dead' /><button title='行動不能になった人を蘇らせるには？' keyword='@revive' /><button title='遠征ボーナスとは？' keyword='@wonjeonbonus' /><button title='キャンプペナルティとは？' keyword='@campingpenalty' /></listbox>
